company_id,company_name,industry,title,reason,expected_impact,estimated_difficulty,ai_automation_potential,priority_score
roofing-01,Kidd Roofing,Roofing,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-01,Kidd Roofing,Roofing,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-01,Kidd Roofing,Roofing,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
roofing-01,Kidd Roofing,Roofing,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-01,Kidd Roofing,Roofing,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-02,Bold Brothers Roofing,Roofing,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-02,Bold Brothers Roofing,Roofing,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-02,Bold Brothers Roofing,Roofing,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
roofing-02,Bold Brothers Roofing,Roofing,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-02,Bold Brothers Roofing,Roofing,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-03,Adamson Roofing Company,Roofing,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-03,Adamson Roofing Company,Roofing,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-03,Adamson Roofing Company,Roofing,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
roofing-03,Adamson Roofing Company,Roofing,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-03,Adamson Roofing Company,Roofing,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-04,Gibson Roofing,Roofing,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-04,Gibson Roofing,Roofing,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-04,Gibson Roofing,Roofing,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
roofing-04,Gibson Roofing,Roofing,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-04,Gibson Roofing,Roofing,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-05,Best Roofing Now,Roofing,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-05,Best Roofing Now,Roofing,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-05,Best Roofing Now,Roofing,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
roofing-05,Best Roofing Now,Roofing,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-05,Best Roofing Now,Roofing,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-06,Owl Roofing,Roofing,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-06,Owl Roofing,Roofing,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-06,Owl Roofing,Roofing,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
roofing-06,Owl Roofing,Roofing,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-06,Owl Roofing,Roofing,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-07,Lyons Roofing,Roofing,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-07,Lyons Roofing,Roofing,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-07,Lyons Roofing,Roofing,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
roofing-07,Lyons Roofing,Roofing,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-07,Lyons Roofing,Roofing,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-08,Bill Ragan Roofing Company,Roofing,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-08,Bill Ragan Roofing Company,Roofing,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-08,Bill Ragan Roofing Company,Roofing,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
roofing-08,Bill Ragan Roofing Company,Roofing,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-08,Bill Ragan Roofing Company,Roofing,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-09,Ace Roofing,Roofing,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-09,Ace Roofing,Roofing,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-09,Ace Roofing,Roofing,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
roofing-09,Ace Roofing,Roofing,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-09,Ace Roofing,Roofing,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-10,Straight Line Roofing & Construction,Roofing,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-10,Straight Line Roofing & Construction,Roofing,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
roofing-10,Straight Line Roofing & Construction,Roofing,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
roofing-10,Straight Line Roofing & Construction,Roofing,Financing Messaging,"No financing/payment plan messaging found, which matters for high-ticket jobs like roofs, HVAC systems, and remodels. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
roofing-10,Straight Line Roofing & Construction,Roofing,Warranty & Certification Badges,"Warranty and/or certification/association membership isn't communicated, leaving a credibility gap versus competitors who display it. (not confirmed via direct site inspection this run — verify before using in outreach.)",Medium,Low,High,1.0
hvac-01,Carter Comfort Systems,HVAC,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
hvac-01,Carter Comfort Systems,HVAC,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned. (not confirmed via direct site inspection this run — verify before using in outreach.)",High,Low,High,1.5
hvac-01,Carter Comfort Systems,HVAC,Quote Form Optimization,No dedicated quote/estimate request form found — the highest-intent conversion path on a home-services site is missing. (not confirmed via direct site inspection this run — verify before using in outreach.),High,Low,Medium,1.5
