company_id,company_name,industry,title,reason,expected_impact,estimated_difficulty,ai_automation_potential,priority_score
roofing-01,Kidd Roofing,Roofing,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring.",High,Low,High,3.0
roofing-01,Kidd Roofing,Roofing,Quote Form Optimization,No dedicated quote/estimate request form — the highest-intent conversion path on a home-services site is missing.,High,Low,Medium,3.0
roofing-01,Kidd Roofing,Roofing,Before / After Gallery,"Before/after photos were not found or not confirmable during this research pass (worth a direct site check) — the single strongest proof format for visually-driven trades like roofing, HVAC, and remodeling.",High,Medium,Medium,1.5
roofing-01,Kidd Roofing,Roofing,Customer Trust Video,No customer testimonial or project video anywhere — video converts better than any other proof format and this business has none.,High,Medium,High,1.5
roofing-01,Kidd Roofing,Roofing,Mobile Optimization,"Mobile-friendliness could not be confirmed during this research pass and should be checked directly (this requires rendering the live page) — most local-service searches happen on a phone, so it's worth verifying first.",High,Medium,Low,1.5
roofing-02,Bold Brothers Roofing,Roofing,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring.",High,Low,High,3.0
roofing-02,Bold Brothers Roofing,Roofing,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned.",High,Low,High,3.0
roofing-02,Bold Brothers Roofing,Roofing,Quote Form Optimization,No dedicated quote/estimate request form — the highest-intent conversion path on a home-services site is missing.,High,Low,Medium,3.0
roofing-02,Bold Brothers Roofing,Roofing,Financing Messaging,"No financing/payment plan messaging, which matters for high-ticket jobs like roofs, HVAC systems, and remodels.",Medium,Low,High,2.0
roofing-02,Bold Brothers Roofing,Roofing,Before / After Gallery,"Before/after photos were not found or not confirmable during this research pass (worth a direct site check) — the single strongest proof format for visually-driven trades like roofing, HVAC, and remodeling.",High,Medium,Medium,1.5
roofing-03,Adamson Roofing Company,Roofing,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring.",High,Low,High,3.0
roofing-03,Adamson Roofing Company,Roofing,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned.",High,Low,High,3.0
roofing-03,Adamson Roofing Company,Roofing,Quote Form Optimization,No dedicated quote/estimate request form — the highest-intent conversion path on a home-services site is missing.,High,Low,Medium,3.0
roofing-03,Adamson Roofing Company,Roofing,Before / After Gallery,"Before/after photos were not found or not confirmable during this research pass (worth a direct site check) — the single strongest proof format for visually-driven trades like roofing, HVAC, and remodeling.",High,Medium,Medium,1.5
roofing-03,Adamson Roofing Company,Roofing,Customer Trust Video,No customer testimonial or project video anywhere — video converts better than any other proof format and this business has none.,High,Medium,High,1.5
roofing-04,Gibson Roofing,Roofing,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring.",High,Low,High,3.0
roofing-04,Gibson Roofing,Roofing,Quote Form Optimization,No dedicated quote/estimate request form — the highest-intent conversion path on a home-services site is missing.,High,Low,Medium,3.0
roofing-04,Gibson Roofing,Roofing,Before / After Gallery,"Before/after photos were not found or not confirmable during this research pass (worth a direct site check) — the single strongest proof format for visually-driven trades like roofing, HVAC, and remodeling.",High,Medium,Medium,1.5
roofing-04,Gibson Roofing,Roofing,Customer Trust Video,No customer testimonial or project video anywhere — video converts better than any other proof format and this business has none.,High,Medium,High,1.5
roofing-04,Gibson Roofing,Roofing,Mobile Optimization,"Mobile-friendliness could not be confirmed during this research pass and should be checked directly (this requires rendering the live page) — most local-service searches happen on a phone, so it's worth verifying first.",High,Medium,Low,1.5
roofing-05,Best Roofing Now,Roofing,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring.",High,Low,High,3.0
roofing-05,Best Roofing Now,Roofing,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned.",High,Low,High,3.0
roofing-05,Best Roofing Now,Roofing,Quote Form Optimization,No dedicated quote/estimate request form — the highest-intent conversion path on a home-services site is missing.,High,Low,Medium,3.0
roofing-05,Best Roofing Now,Roofing,Before / After Gallery,"Before/after photos were not found or not confirmable during this research pass (worth a direct site check) — the single strongest proof format for visually-driven trades like roofing, HVAC, and remodeling.",High,Medium,Medium,1.5
roofing-05,Best Roofing Now,Roofing,Customer Trust Video,No customer testimonial or project video anywhere — video converts better than any other proof format and this business has none.,High,Medium,High,1.5
roofing-06,Owl Roofing,Roofing,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring.",High,Low,High,3.0
roofing-06,Owl Roofing,Roofing,On-Site Review / Testimonial Section,"Reviews live on Google but are never surfaced on the site itself, so site visitors don't see the reputation the business has already earned.",High,Low,High,3.0
roofing-06,Owl Roofing,Roofing,Quote Form Optimization,No dedicated quote/estimate request form — the highest-intent conversion path on a home-services site is missing.,High,Low,Medium,3.0
roofing-06,Owl Roofing,Roofing,Google Review Generation + Google Posts,Review volume or rating is below the threshold buyers use to filter local providers at a glance.,Medium,Low,Medium,2.0
roofing-06,Owl Roofing,Roofing,Financing Messaging,"No financing/payment plan messaging, which matters for high-ticket jobs like roofs, HVAC systems, and remodels.",Medium,Low,High,2.0
roofing-07,Lyons Roofing,Roofing,Homepage Rewrite & Clear CTA,"Homepage lacks a clear call-to-action and/or an About Us section, so first-time visitors can't tell what to do next or who they're hiring.",High,Low,High,3.0
roofing-07,Lyons Roofing,Roofing,Quote Form Optimization,No dedicated quote/estimate request form — the highest-intent conversion path on a home-services site is missing.,High,Low,Medium,3.0
